YEAR,MO,DY,HR,WS50M,WD50M
2006,1,7,19,8.19,113.2
2006,1,7,20,8.01,109.2
2006,1,7,21,7.49,106.7
2006,1,7,22,7.29,107.1
2006,1,7,23,6.85,110.5
2006,1,8,0,6.55,115.0
2006,1,8,1,6.31,119.9
2006,1,8,2,6.2,124.5
2006,1,8,3,6.49,126.9
2006,1,8,4,6.61,126.9
2006,1,8,5,6.64,125.7
2006,1,8,6,6.52,124.2
2006,1,8,7,7.77,122.2
2006,1,8,8,7.76,121.6
2006,1,8,9,7.1,121.8
2006,1,8,10,6.29,122.9
2006,1,8,11,5.39,124.4
2006,1,8,12,4.65,125.8
2006,1,8,13,4.22,125.9
2006,1,8,14,4.15,124.0
2006,1,8,15,4.45,120.5
2006,1,8,16,5.08,116.7
2006,1,8,17,6.15,113.3
2006,1,8,18,7.94,109.5
2006,1,8,19,9.65,106.1
2006,1,8,20,9.86,105.5
2006,1,8,21,9.15,106.3
2006,1,8,22,8.3,108.5
2006,1,8,23,7.45,111.3
2006,1,9,0,6.99,114.4
2006,1,9,1,6.82,117.3
2006,1,9,2,6.61,119.7
2006,1,9,3,6.3,121.6
2006,1,9,4,6.41,122.5
2006,1,9,5,6.02,124.9
2006,1,9,6,5.65,125.6
2006,1,9,7,7.19,118.4
2006,1,9,8,7.8,113.9
2006,1,9,9,7.43,113.1
2006,1,9,10,6.97,113.4
2006,1,9,11,6.57,113.8
2006,1,9,12,6.35,113.2
2006,1,9,13,6.29,111.5
2006,1,9,14,6.4,109.8
2006,1,9,15,6.74,108.2
2006,1,9,16,7.62,106.4
2006,1,9,17,8.7,105.7
2006,1,9,18,9.57,105.5
2006,1,9,19,9.85,106.2
2006,1,9,20,9.47,107.5
2006,1,9,21,8.73,109.1
2006,1,9,22,7.99,110.6
2006,1,9,23,7.41,112.1
2006,1,10,0,6.99,112.7
2006,1,10,1,6.52,113.6
2006,1,10,2,6.41,113.7
2006,1,10,3,6.02,113.1
2006,1,10,4,5.76,111.4
2006,1,10,5,5.63,110.1
2006,1,10,6,5.95,109.2
2006,1,10,7,9.02,107.0
2006,1,10,8,9.92,107.4
2006,1,10,9,9.77,108.9
2006,1,10,10,9.39,110.8
2006,1,10,11,9.0,112.7
2006,1,10,12,8.71,114.6
2006,1,10,13,8.53,116.3
2006,1,10,14,8.48,117.2
2006,1,10,15,8.64,118.2
2006,1,10,16,9.07,118.5
2006,1,10,17,9.69,118.1
2006,1,10,18,10.11,117.6
2006,1,10,19,10.14,117.6
2006,1,10,20,9.92,119.6
2006,1,10,21,9.44,122.1
2006,1,10,22,8.72,124.3
2006,1,10,23,8.11,126.8
2006,1,11,0,7.8,129.1
2006,1,11,1,7.68,130.1
2006,1,11,2,7.44,129.9
2006,1,11,3,7.3,129.9
2006,1,11,4,7.03,130.7
2006,1,11,5,7.07,131.0
2006,1,11,6,7.17,131.2
2006,1,11,7,8.98,128.4
2006,1,11,8,9.42,125.1
2006,1,11,9,9.21,122.9
2006,1,11,10,9.03,120.7
2006,1,11,11,8.86,118.9
2006,1,11,12,8.77,117.9
2006,1,11,13,8.69,117.4
2006,1,11,14,8.61,116.9
2006,1,11,15,8.62,116.6
2006,1,11,16,8.7,116.3
2006,1,11,17,8.79,116.2
2006,1,11,18,9.06,114.3
2006,1,11,19,9.12,112.1
2006,1,11,20,8.99,112.3
2006,1,11,21,8.77,115.7
2006,1,11,22,8.51,119.5
2006,1,11,23,8.1,122.3
2006,1,12,0,7.89,125.6
2006,1,12,1,7.36,127.6
2006,1,12,2,7.04,128.6
2006,1,12,3,7.04,127.4
2006,1,12,4,7.12,125.3
2006,1,12,5,6.84,123.4
2006,1,12,6,7.22,120.7
2006,1,12,7,8.91,116.7
2006,1,12,8,9.25,114.0
2006,1,12,9,9.13,112.4
2006,1,12,10,9.0,110.9
2006,1,12,11,8.99,109.3
2006,1,12,12,9.0,108.0
2006,1,12,13,8.96,107.1
2006,1,12,14,8.96,106.3
2006,1,12,15,9.05,106.2
2006,1,12,16,9.21,106.7
